id,hhb,hbo2,ca,na
10000,9.273107787804006,4.360039055621909,8.770844422505249,2.4957938192230764
10001,6.9325539410218,2.906338531630547,9.248918579117044,2.8824708804545383
10002,8.87109184819807,5.433783455560219,10.822669058327877,4.032054847126085
10003,7.933946971674203,4.302851717028469,10.491366356574344,4.352173398115282
10004,6.471729378377948,3.1694837695645504,9.108522348084234,4.092610041547263
10005,7.170221064899269,4.639775273564893,11.240808471659843,1.8676064988367909
10006,8.445463222070819,2.2534290169213183,8.540864409301442,2.7944125675689246
10007,8.91038331448984,4.546226504203151,12.01533583980967,3.4988046609519206
10008,6.761845375039829,4.4286562852922735,7.780951308416565,3.5534857673587426
10009,9.378613232375931,3.993327257212992,6.2845725032139805,2.5958948599195675
10010,10.196506676561215,3.588349690525798,10.306751777534323,6.202584783727366
10011,8.985734584788622,3.16187146925175,5.270906851684191,4.028483544887165
10012,9.259224140735551,3.7160163179775045,8.806011760811893,2.4323168757159683
10013,7.39297070484298,4.072458499094453,10.84599009228376,1.6303685947235012
10014,10.39625467497845,4.214113207883213,6.336618543363644,1.9032651674503676
10015,3.960213049367507,3.466926889661444,8.495160326833494,5.2688710460043815
10016,10.4254323155425,3.2221518827931934,8.142950154612489,4.072965946846518
10017,9.213776196033173,3.9271628614493386,7.316131109712064,2.2564566152038172
10018,10.250028554582673,4.599884594590505,11.017730881530655,2.7640318692244352
10019,7.326758417506905,3.7172184730850466,6.6689902906672005,0.878784837529178
10020,9.506710353084038,3.254294467427165,8.542189023082623,3.3797523826037574
10021,9.960700570508923,4.960205088175969,8.442059710167674,2.1950600865878096
10022,12.016824450965157,4.8426651649614465,11.908093698239423,3.8866922795809975
10023,7.390663351990119,3.999055156005797,11.41649771506797,2.6038030803756618
10024,6.036551470596987,5.156696759540544,9.781127113490195,3.265367255939691
10025,10.279523582746295,4.535942682970082,8.353918922661716,2.1636182056462685
10026,10.659469919732757,3.011148491858588,5.817317888613318,2.475642913700408
10027,13.823983050357825,5.218590416195777,10.515651033531995,3.9863499168133396
10028,1.971618827696115,4.383338032926532,4.8453848320174995,3.5676938222494146
10029,8.336151153386462,3.8154930123088784,7.974507472425385,3.3184859678609944
10030,4.251733715564947,3.1527267043370366,4.7908875944923945,3.051210902293593
10031,8.524616404570773,3.9475073802099425,4.886078889772486,3.4256873221673856
10032,16.293685709972785,4.9574959267540715,9.606212182791086,4.627757040756194
10033,9.33922979100541,3.607293392086111,9.481075005183788,4.650247408687057
10034,9.231035861788289,3.895106391511355,9.945070893076627,3.9370940120263427
10035,6.617106562382693,2.7720816597254534,9.406167140488373,3.0389501113912116
10036,8.27416721899224,4.19425942496048,7.687113728588745,4.601957187976593
10037,5.7845776466862215,3.884316975090295,9.674086567317142,3.309606510802481
10038,10.20192297774183,4.2905822981821995,8.086473054618665,3.3295357320379715
10039,8.708834888118202,2.8275395260460923,8.737306914861925,3.2913793835774605
10040,4.984728037983832,2.7105119198557404,12.594486299856806,3.369423421250392
10041,7.3076328608761045,3.9144864331686176,9.810674501630391,4.7109636609036905
