id,hhb,hbo2,ca,na
10000,8.170026211080762,4.045987387752674,8.833595186299538,3.034111074629353
10001,8.228263410337577,3.9932946752919967,8.994592417621952,3.034111074629353
10002,8.053013893985426,3.9932946752919967,8.994592417621952,3.034111074629353
10003,8.021953488986094,3.9999377134571175,9.027351911550081,3.034111074629353
10004,8.060835599265511,3.9999377134571175,8.986698996945943,2.8897015390776097
10005,8.309578471411138,3.984741237643321,9.025196483428495,3.034111074629353
10006,7.991065880902748,3.9999377134571175,9.043608901217638,3.0647946463587594
10007,7.9965385401600475,4.000066188914949,8.835148736856086,2.985385724742568
10008,7.964252915646351,3.9999377134571175,9.176406607579818,3.034111074629353
10009,8.021953488986094,4.0143192008531035,8.755517389443762,3.0247529785746052
10010,8.295673340334675,4.026301856716961,9.334306571963168,3.023816733183244
10011,8.054189993864059,3.9308942023848497,8.984568806446473,2.985385724742568
10012,7.879754068532131,3.997231504202228,8.889559624936961,3.0247529785746052
10013,7.964252915646351,3.9999377134571175,9.002998425026524,3.034111074629353
10014,8.02646184316105,3.997231504202228,8.769632448771626,3.0247529785746052
10015,7.984474738796242,3.943597777799588,9.15758733785762,3.034111074629353
10016,8.015836412367934,3.9999377134571175,8.989274043405942,3.034111074629353
10017,8.031151715839975,3.987799010915174,9.224755112991666,2.985385724742568
10018,7.82071820998255,3.9999377134571175,9.043608901217638,3.0907360601461003
10019,8.444882596590492,3.997231504202228,8.733043282702205,2.951868202481011
10020,8.182712494647129,4.026301856716961,9.027351911550081,3.034111074629353
10021,8.114800345274766,4.000066188914949,9.11144434099387,3.034111074629353
10022,8.067746704010151,3.9999377134571175,8.579009308866501,3.034111074629353
10023,7.953782870815839,3.9999377134571175,9.028398182179263,3.034111074629353
10024,7.984474738796242,4.0123630833049315,8.91106147993875,3.034111074629353
10025,7.898620152861896,3.984741237643321,9.008939493760938,3.034111074629353
10026,8.024766507006976,3.997231504202228,8.945654728838537,3.0247529785746052
10027,8.005743206436787,3.9999377134571175,8.849126604569907,3.0247529785746052
10028,8.110752152965063,4.04221559626736,8.956921984655335,3.034111074629353
10029,8.059853482104879,3.987799010915174,9.075650807721523,3.034111074629353
10030,8.218486430556972,4.019007762357765,8.852982487565264,3.034111074629353
10031,7.942925025973776,3.9999377134571175,9.019255414694081,3.034111074629353
10032,8.243822630227491,3.9932946752919967,9.06619220611505,3.034111074629353
10033,8.254915259242242,3.9999377134571175,9.193404196991684,3.0647946463587594
10034,8.060835599265511,3.9999377134571175,9.234772987398006,3.0647946463587594
10035,8.005122019798097,3.9468510241685495,9.075650807721523,3.049954556649711
10036,8.377893121656102,3.963039573849603,8.62065252173555,3.0687376485002535
10037,8.070858651759249,4.000066188914949,8.835289864007725,2.9371222347287618
10038,8.111273615789672,3.9999377134571175,8.95677979144096,3.034111074629353
10039,8.007578755750316,3.9999377134571175,9.100046024326387,3.034111074629353
10040,7.919792011541615,3.9932946752919967,9.040409964509712,3.034111074629353
10041,7.9453951119385176,3.9999377134571175,9.081989310919258,3.0669059000028622
10042,7.79730587545022,3.9999377134571175,8.770056789786375,3.0247529785746052
10043,8.167837430335863,4.0143192008531035,9.070678194520488,3.034111074629353
10044,7.987385930078511,3.9999377134571175,8.99906822761108,3.034111074629353
10045,8.145770975816816,3.963039573849603,8.945943868334506,3.0687376485002535
10046,8.067746704010151,3.9999377134571175,8.95677979144096,3.034111074629353
10047,7.711549102867478,3.9999377134571175,8.982273978016913,3.034111074629353
10048,7.963050535303053,3.9932946752919967,9.326851821671909,3.034111074629353
10049,7.998820474553935,3.9932946752919967,9.043608901217638,3.034111074629353
10050,8.010412182860598,3.997231504202228,9.109463689685857,3.0907360601461003
10051,7.853057147198836,3.9999377134571175,9.320781836305017,3.034111074629353
10052,8.111273615789672,3.9999377134571175,9.027351911550081,3.034111074629353
10053,7.989012652795593,3.984741237643321,9.018149548386928,3.034111074629353
10054,7.902147372184087,3.9999377134571175,8.552492983086768,3.034111074629353
10055,7.867159956365118,3.9999377134571175,8.97320335195483,3.0052021581924913
10056,8.051038988432218,4.011397359313792,8.656499997412613,3.0247529785746052
10057,8.111273615789672,3.9999377134571175,9.167257402488133,3.034111074629353
10058,8.28673340162016,4.000066188914949,9.217406958592237,3.0247529785746052
10059,8.209280423826534,3.9999377134571175,8.937060887148593,3.034111074629353
10060,7.861002868686989,3.9932946752919967,9.05075777429262,3.034111074629353
10061,7.987385930078511,3.9999377134571175,9.092985440942048,3.034111074629353
10062,8.044613689577991,3.9932946752919967,8.994592417621952,3.034111074629353
10063,7.998820474553935,3.9932946752919967,8.994592417621952,3.034111074629353
10064,7.998820474553935,3.9932946752919967,9.089181528952388,3.034111074629353
10065,8.229190248684464,3.9932946752919967,8.979352026257478,3.034111074629353
10066,7.881013515833563,3.943597777799588,9.2549272546344,3.034111074629353
10067,8.104258553027009,3.9932946752919967,8.926251467990218,3.034111074629353
10068,8.189281089339495,3.9999377134571175,8.88072605593499,2.8897015390776097
10069,7.909938312099159,3.9999377134571175,9.030159985539422,3.1197141308701255
10070,8.239411779601488,4.071151962397565,9.418324997702882,3.034111074629353
10071,7.928596787223885,3.9999377134571175,9.04465517184682,3.034111074629353
10072,8.087026851695725,3.963039573849603,9.189537160619535,3.023816733183244
